Author	n (strains)	publication title	journal	publication URL	strains
Smura et al	22	unknown	unknown	unknown	Finland/FIN01032020/2020,Finland/FIN-274/2020,Finland/FIN03032020B/2020,Finland/14M20/2020,Finland/1/2020,Finland/14M74/2020,Finland/FIN-25/2020,Finland/FIN03032020C/2020,Finland/FIN-313/2020,Finland/FIN-318/2020,Finland/FIN-508/2020,Finland/13M33/2020,Finland/14M12/2020,Finland/14M16/2020,Finland/14M26/2020,Finland/13M65/2020,Finland/13M58/2020,Finland/13M64/2020,Finland/13M60/2020,Finland/13M82/2020,Finland/13M26/2020,Finland/13M57/2020
Moore et al	5	unknown	unknown	unknown	Wales/PHWC-244FB/2020,Wales/PHWC-25418/2020,Wales/PHWC-2516C/2020,Wales/PHWC-25454/2020,Wales/PHW1/2020
Ge et al	1	unknown	unknown	unknown	Fuyang/FY002/2020
Stefanelli et al	2	unknown	unknown	unknown	Italy/SPL1/2020,Italy/CDG1/2020
Capobianchi et al	1	unknown	unknown	unknown	Italy/INMI1-cs/2020
Kotaria et al	5	unknown	unknown	unknown	Georgia/Tb-468/2020,Georgia/Tb-54/2020,Georgia/Tb-82/2020,Georgia/Tb-1352/2020,Georgia/Tb-477/2020
Machablishvili et al	1	unknown	unknown	unknown	Georgia/Tb-537/2020
Resende et al	3	unknown	unknown	unknown	Brazil/ES-225/2020,Brazil/BA-312/2020,Brazil/RJ-314/2020
Costa et al	2	unknown	unknown	unknown	Portugal/IGC00009/2020,Portugal/IGC00010/2020
Zhang et al	4	unknown	unknown	unknown	Wuhan-Hu-1/2019,USA/WI1/2020,Zhejiang/WZ-02/2020,USA/CA6/2020
Sah et al	1	unknown	unknown	unknown	Nepal/61/2020
Pilailuk et al	2	unknown	unknown	unknown	Nonthaburi/61/2020,Nonthaburi/74/2020
Silamikelis et al	9	unknown	unknown	unknown	Latvia/0002/2020,Latvia/0004/2020,Latvia/0003/2020,Latvia/0007/2020,Latvia/0006/2020,Latvia/0005/2020,Latvia/0009/2020,Latvia/0001/2020,Latvia/0008/2020
Meumann et al	4	unknown	unknown	unknown	Australia/NT02/2020,Australia/NT01/2020,Australia/NT05/2020,Australia/NT04/2020
