Author	n (strains)	publication title	journal	publication URL	strains
Terrier et al	1	unknown	unknown	unknown	France/IDF0386-islP1/2020
Octavia et al	5	unknown	unknown	unknown	Singapore/7/2020,Singapore/8/2020,Singapore/9/2020,Singapore/10/2020,Singapore/11/2020
Meumann et al	4	unknown	unknown	unknown	Australia/NT02/2020,Australia/NT01/2020,Australia/NT05/2020,Australia/NT04/2020
Hishiki et al	4	unknown	unknown	unknown	Japan/Hu_DP_Kng_19-031/2020,Japan/Hu_DP_Kng_19-027/2020,Japan/Hu_DP_Kng_19-020/2020,Japan/Hu_Kng_19-437/2020
Inbar Cohen-Gihon et al	2	unknown	unknown	unknown	Israel/ISR_JP0320/2020,Israel/ISR_IT0320/2020
Alghoribi et al	1	unknown	unknown	unknown	SaudiArabia/KAIMRC-Alghoribi/2020
Yoong Min CHONG et al	2	unknown	unknown	unknown	Malaysia/188407/2020,Malaysia/189332/2020
Gray et al	1	unknown	unknown	unknown	Australia/NSW48/2020
Giandhari et al	5	unknown	unknown	unknown	SouthAfrica/KRISP_0006/2020,SouthAfrica/KRISP_0002/2020,SouthAfrica/KRISP_0012/2020,SouthAfrica/KRISP_0007/2020,SouthAfrica/KRISP_0011/2020
Javed et al	1	unknown	unknown	unknown	Pakistan/Gilgit1/2020
Yadav et al	13	unknown	unknown	unknown	India/1125/2020,India/1111/2020,India/1644/2020,India/1652/2020,India/1063/2020,India/1100/2020,India/1115/2020,India/1621/2020,India/1616/2020,India/c31/2020,India/1135/2020,India/3239/2020,India/3118/2020
Tsao et al	12	unknown	unknown	unknown	Taiwan/CGMH-CGU-04/2020,Taiwan/CGMH-CGU-05/2020,Taiwan/CGMH-CGU-03/2020,Taiwan/CGMH-CGU-09/2020,Taiwan/CGMH-CGU-02/2020,Taiwan/CGMH-CGU-01/2020,Taiwan/CGMH-CGU-12/2020,Taiwan/CGMH-CGU-15/2020,Taiwan/CGMH-CGU-16/2020,Taiwan/CGMH-CGU-19/2020,Taiwan/CGMH-CGU-17/2020,Taiwan/CGMH-CGU-14/2020
Harrigan et al	11	unknown	unknown	unknown	Canada/BC_13297/2020,Canada/BC_17397/2020,Canada/BC_69243/2020,Canada/BC_37_0-2/2020,Canada/BC_6489864/2020,Canada/BC_9345042/2020,Canada/BC_6997898/2020,Canada/BC_7553799/2020,Canada/BC_8486790/2020,Canada/BC_9345715/2020,Canada/BC_9574898/2020
Zeinali et al	1	unknown	unknown	unknown	Iran/HGRC-01-IPI-8206/2020
Fahd Al-Mulla et al	8	unknown	unknown	unknown	Kuwait/KU17/2020,Kuwait/KU09/2020,Kuwait/KU18/2020,Kuwait/KU12/2020,Kuwait/KU001/2020,Kuwait/KU008/2020,Kuwait/KU005/2020,Kuwait/KU006/2020
Shaikh Terkis Islam Pavel et al	1	unknown	unknown	unknown	Turkey/ERAGEM-001/2020
Kotaria et al	5	unknown	unknown	unknown	Georgia/Tb-82/2020,Georgia/Tb-468/2020,Georgia/Tb-54/2020,Georgia/Tb-477/2020,Georgia/Tb-1352/2020
