Author	n (strains)	publication title	journal	publication URL	strains
Yeh et al	19	unknown	unknown	unknown	Taiwan/NTU13/2020,Taiwan/NTU01/2020,Taiwan/NTU04/2020,Taiwan/NTU11/2020,Taiwan/NTU06/2020,Taiwan/NTU02/2020,Taiwan/NTU07/2020,Taiwan/NTU14/2020,Taiwan/NTU16/2020,Taiwan/NTU15/2020,Taiwan/NTU03/2020,Taiwan/NTU08/2020,Taiwan/NTU20/2020,Taiwan/NTU05/2020,Taiwan/NTU17/2020,Taiwan/NTU09/2020,Taiwan/NTU12/2020,Taiwan/NTU19/2020,Taiwan/NTU21/2020
Le Quynh Mai et al	5	unknown	unknown	unknown	Vietnam/CM99/2020,Vietnam/38142/2020,Vietnam/CM295/2020,Vietnam/39607/2020,Vietnam/CM296/2020
Ung Thi Hong Trang et al	1	unknown	unknown	unknown	Vietnam/VR03-38142/2020
Tao et al	5	unknown	unknown	unknown	USA/AZ1/2020,USA/OR_2656/2020,USA/GA_2741/2020,USA/CA5/2020,USA/IL1/2020
Eden et al	7	unknown	unknown	unknown	Australia/NSW04/2020,Australia/NSW01/2020,Australia/NSW03/2020,Australia/NSW45/2020,Australia/NSW07/2020,Australia/NSW05/2020,Australia/NSW06/2020
Chan et al	2	unknown	unknown	unknown	Shenzhen/HKU-SZ-005/2020,Shenzhen/HKU-SZ-002/2020
Sekizuka et al	24	unknown	unknown	unknown	Japan/TY-WK-501/2020,Japan/TY-WK-521/2020,Japan/TY-WK-012/2020,Japan/TK-20-31-3/2020,Japan/NA-20-05-1/2020,Japan/KY-V-029/2020,Japan/OS-20-07-1/2020,Japan/AI-I-004/2020,Japan/P5-3/2020,Japan/P5-1/2020,Japan/P4-5/2020,Japan/P4-4/2020,Japan/P4-3/2020,Japan/P4-2/2020,Japan/P4-8/2020,Japan/P4-7/2020,Japan/P4-6/2020,Japan/P5-2/2020,Japan/P4-1/2020,Japan/P3-1/2020,Japan/P3-2/2020,Japan/P2-2/2020,Japan/P2-1/2020,Japan/P1/2020
Braun et al	1	unknown	unknown	unknown	Japan/UT-NCGM02/2020
Yang et al	11	unknown	unknown	unknown	Shenzhen/SZTH-002/2020,Taiwan/3/2020,Shenzhen/SZTH-003/2020,Taiwan/2/2020,Taiwan/4/2020,Taiwan/225/2020,Taiwan/170/2020,Taiwan/107/2020,Taiwan/144/2020,Taiwan/128/2020,Taiwan/125/2020
Walter et al	2	unknown	unknown	unknown	Germany/BavPat3/2020,Germany/BavPat2/2020
